,I0,I1,I2,O0,O1,O2,O3,O4,O5,O6
5,6.091350823385883,10.47989687832635,23.755202466614865,-91.09456249469191,24.298120027562717,54.063578383137944,87.02569654868286,-0.16559834024290376,-1.201359300992537,-4.190953673236308
6,5.556348554990977,10.303285791595425,17.834788178664674,-94.36175563042701,23.676438817255242,62.597855060116935,70.59902413534451,-81.60303054327697,-17.253237264513544,3.447147032117549
7,5.5611388521231175,-16.988747635636706,25.493383847573586,-94.82905527742477,23.708979289932014,61.7727164453144,85.9815687258374,-3.742213499625657,-15.856499412122405,3.796209130045537
8,5.5611388521231175,-16.988747635636706,25.493383847573586,-95.06297270272816,23.75470350560448,61.20391850708673,85.731414326294,-3.913372920562545,-16.149861172643856,3.980191628437887
9,-1.6163948002890725,17.827700459663028,16.115681579681155,-91.89272780364124,24.779296835673712,46.38981713481509,71.08928003471291,-0.6062513654066093,-4.001454541519035,0.25129801421042053
10,-1.9937419476228952,12.57539304963759,23.498027609970833,-86.1896329419524,24.55576867503635,46.03900373563901,87.82898481640542,0.6305704798131626,-0.11803944324188764,-5.804008349885383
11,-7.855227949054014,12.380280661941754,16.559273034477528,-80.4242352911146,24.38942682282771,41.920972469995746,74.08620753124929,-0.79760449997534,0.01929347537827497,-5.084983332216452
12,-7.855227949054014,12.380280661941754,16.559273034477528,-79.93020428073223,24.327204919887706,41.38076012595473,74.71106260813883,-1.1542522647943825,0.2599319337501331,-5.708321100321802
13,-7.545058054928452,20.09911470281377,17.002298268869275,-81.13454642141986,25.340298454670865,25.548786860916437,74.88033271839845,-0.30681347858640784,-0.9664875445649557,-4.373950701525429
14,-11.923888391694812,10.717841247484133,28.05825610358208,-82.73902273574954,24.1393971655778,54.18630227718595,91.62691447713115,0.6403819079449609,-0.045346031867836034,-6.3551372455428385
15,-12.029743664769143,-16.6357819470888,16.249932607681437,-93.85025805769186,23.156495622896422,74.90279874217451,74.02399024061961,-81.4035400850141,-17.412543937371893,2.6093699016447225
16,-7.05478100477342,-23.341509862043743,27.216950578416792,-94.38257845405639,23.491368217650844,69.08336033497335,93.50704746556254,-4.474428624742694,-16.467779654884673,3.1472257601108353
17,-7.056516957527496,-23.544016241475838,27.633854940103426,-93.97347976760207,23.44238507566812,70.82376180578298,96.71775757587409,-4.576283672933886,-16.44016516572534,2.6469074847723864
18,2.8024320785808046,12.234239056453418,17.3235291906506,-89.83492940058152,24.38199352818428,44.718249314948174,73.52998877470918,-1.2892023556943832,-1.7364184419068285,-3.340330719936559
19,-7.593896389116445,17.80282054714516,27.36898038548746,-79.41035747984105,24.780491969843464,39.45488071348201,97.51056568003074,-0.5728661256464083,0.3253744728318765,-8.827821706773909
20,-7.593896389116445,17.80282054714516,27.36898038548746,-80.36261506103952,24.722115542286474,40.388987870168656,90.93735259570208,0.10445725114866589,0.2814775971083221,-7.587572548282187
21,2.629484238310015,13.244590539349385,23.930131331818362,-85.93825725631638,24.68633084841877,43.56470767493685,87.7497457741105,0.691158574005529,-0.04858297368925091,-6.092572471151637
22,-12.075636149716477,-11.984917776865881,15.887233983051015,-79.42974845485143,23.831620638315826,43.63688109050244,75.20033059714237,-2.0308420631594055,0.5561563578482478,-5.881293397996531
23,-12.075636149716477,-11.984917776865881,15.887233983051015,-85.2475553961989,23.773822845599845,52.32210023919416,74.91608799597589,-2.5701868862557786,-0.6417990176256068,-4.579688945384583
24,2.629484238310015,13.244590539349385,23.930131331818362,-81.76312395616605,24.83806201380031,39.61446063884625,89.690740451479,-0.11651367511569255,0.1560791669031636,-7.169303968752491
25,2.629484238310015,13.244590539349385,23.930131331818362,-86.26902878655277,24.73152626570299,41.067649941110986,87.4619588736559,0.6146182203095323,-0.08325445338006288,-6.03783569233232
26,-11.705448088016066,20.635651615237588,17.372544008962326,-70.99237108523224,25.514313130393553,23.952163234644672,86.6650931149995,-3.034893606673047,0.26021061328252226,-8.762591160769237
27,5.3177153019986125,12.241629301509992,23.459517025397723,-91.85360495748857,24.356721190245395,53.27521972251142,86.30682376960488,-0.4338001964800222,-1.7791558993034227,-3.786082911291307
28,-11.904125010645942,-11.222029350901597,29.01939038022664,-81.2516251049922,24.23146550606456,51.38537500923975,94.30848930030841,0.2776915235210369,0.18103055430183024,-7.425994320903228
29,-6.97109103039857,-24.01008817214266,27.00954376278807,-95.49443769748052,23.433001413454242,71.0546625604016,94.89876927517017,-57.316756500289316,-17.479232758072303,4.024965747279822
30,-12.165093906847453,22.75672913594054,17.722383927753178,-69.85909048809162,25.483547528511927,23.59305227089608,102.3879693127374,-4.980117765595766,0.7763870433029991,-12.386511530312475
31,-6.97109103039857,-24.01008817214266,27.00954376278807,-95.36754747839188,23.379278040744836,71.89893514055765,94.78621782646825,-57.37753598574419,-17.553852317077585,3.90834211627368
32,-11.984344909665946,12.036769473045942,29.477060010442987,-81.43845143081379,24.373874440234683,47.11447128079548,93.4100580479573,0.6081088046722867,0.09066620046380286,-7.5178255685467175
33,-1.9956674202563534,17.89442860740962,16.19809193606537,-85.3311445400621,24.769100149022684,39.47828624277757,74.06256067578124,0.021739475281188803,-0.7619187020880958,-3.9926465606290114
34,5.030187795550263,-23.07066357533528,27.020689323695336,-95.76048265994584,23.6515871494717,67.45914529892681,92.54248472217739,-5.006831663123456,-17.151627823785958,4.0808928016671695
35,5.917990751352022,12.099004199171787,16.847955602429902,-94.42791255015057,24.222620495630448,56.581617534726675,70.20368985703271,-3.5668326710190126,-16.800179472906528,3.4976997126571927
36,5.3569957370145085,-17.787751154584335,24.407665640223463,-94.8306291320518,23.679502727272407,62.31218707473434,90.2853018750051,-3.885020303114918,-16.070194708745785,4.016051372420804
37,5.3569957370145085,-17.787751154584335,24.407665640223463,-94.70759711068062,23.65212660773844,62.19137429555042,90.29554295222658,-3.906798006009918,-15.994566864552096,4.0827052990873876
38,5.3569957370145085,-17.787751154584335,24.407665640223463,-94.42738671264476,23.65788484337336,62.42359548108015,91.17213961903167,-3.601302285734328,-15.75416000151256,3.7077133596976575
39,5.77447911317109,10.720820424068133,18.63738416515268,-94.27127311766142,23.611526693511898,62.43583334697618,70.83712709581947,-81.12657895824195,-17.149678464168012,3.292462385527286
40,5.932773951254989,10.331890271116391,24.133072747009674,-94.07483689824184,23.918437114202398,57.798436003073306,80.94828104813438,-2.721693166501751,-12.818991140870484,3.209764435965828
