,f1,f2,f3,a1,a2,a3
142,-0.235995,0.012845,0.357891,-0.226845,0.023051,0.319774
143,-0.234349,-0.013531,0.312077,-0.207512,0.010607,0.305825
144,-0.237467,0.00337,0.332005,-0.215997,0.015288,0.311043
145,-0.154056,-0.018431,0.323898,-0.171145,0.003392,0.295983
146,-0.136967,-0.043022,0.331862,-0.145153,-0.01446,0.299562
147,-0.140395,-0.03965,0.327533,-0.145119,-0.01449,0.299556
148,-0.225304,0.039017,0.306249,-0.219111,0.047273,0.28972
149,-0.140395,-0.03965,0.327533,-0.148517,-0.013651,0.298927
150,-0.23208,0.018411,0.304808,-0.218391,0.029469,0.294026
151,-0.23208,0.018411,0.304808,-0.21945,0.034699,0.292309
152,-0.156921,-0.011228,0.352682,-0.147461,0.003087,0.313439
153,-0.156921,-0.011228,0.352682,-0.149421,-0.000241,0.31238
154,-0.155658,0.00508,0.348829,-0.14416,0.00772,0.310915
155,-0.150203,-0.02158,0.324841,-0.158591,0.001986,0.302278
156,-0.150203,-0.02158,0.324841,-0.15879,0.001911,0.302147
157,-0.226109,-0.005767,0.306077,-0.21672,0.013127,0.28001
158,-0.148029,0.02826,0.34335,-0.156942,0.043887,0.3144
159,-0.148029,0.02826,0.34335,-0.160257,0.033862,0.305482
160,-0.226109,-0.005767,0.306077,-0.218474,0.012139,0.27653
161,-0.225253,-0.023183,0.318281,-0.204256,0.003415,0.304881
162,-0.138106,-0.038346,0.32479,-0.146533,-0.009039,0.305112
163,-0.225253,-0.023183,0.318281,-0.210973,0.002532,0.302202
164,-0.212732,-0.05175,0.347695,-0.189387,-0.013294,0.299963
165,-0.217035,-0.04343,0.32071,-0.201502,-0.009734,0.301011
166,-0.14005,0.037714,0.332997,-0.160212,0.04773,0.303831
167,-0.144684,0.032224,0.330725,-0.160145,0.046511,0.302844
168,-0.150737,-0.023498,0.339737,-0.144978,-0.001912,0.309516
169,-0.150737,-0.023498,0.339737,-0.156711,-0.00407,0.302067
170,-0.139515,0.033806,0.32449,-0.167405,0.042983,0.299409
171,-0.139515,0.033806,0.32449,-0.169636,0.043064,0.298799
172,-0.221364,-0.010316,0.324944,-0.201852,0.009046,0.305416
173,-0.219095,-0.005851,0.307569,-0.202442,0.009501,0.305621
