,a1,a2,a3,h1,h2,h3,f1,f2,f3,x1,x2,x3
0,-0.269726,0.047362,0.319155,-0.267094,0.054222,0.28068899999999997,-0.282144,0.036064,0.307625,5e-06,7.000000000000001e-06,6e-06
1,-0.203067,-0.027974000000000002,0.33161999999999997,-0.190671,-0.019219999999999998,0.291987,-0.19597799999999999,-0.043538,0.326599,0.001505,0.007304000000000001,0.006056000000000001
2,-0.248112,0.07521900000000001,0.334812,-0.262457,0.078954,0.262955,-0.25332,0.084771,0.32953499999999997,2.8000000000000003e-05,0.00028399999999999996,0.00037799999999999997
3,-0.196669,-0.024391999999999997,0.33382399999999995,-0.189529,-0.022705,0.287684,-0.190918,-0.050586,0.330411,0.0021420000000000002,0.012798,0.010464
4,-0.25703899999999996,-0.042127,0.325886,-0.224144,-0.019171,0.27631100000000003,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831
5,-0.21229800000000001,-0.018816,0.334065,-0.196856,-0.009301,0.301975,-0.205154,-0.027096,0.345091,0.002333,0.007997,0.008223000000000001
6,-0.215709,0.019727,0.330826,-0.21322399999999997,0.045182,0.319132,-0.208013,0.017509,0.345921,0.0,6e-06,6e-06
7,-0.245608,0.073382,0.336131,-0.261211,0.080799,0.26206399999999996,-0.251224,0.085886,0.319286,5.6000000000000006e-05,0.000333,0.000458
8,-0.186977,-0.025164,0.33169,-0.194467,-0.012155,0.29736999999999997,-0.18874200000000002,-0.042022000000000004,0.314023,0.0,1e-06,1e-06
9,-0.172835,-0.036147000000000006,0.331664,-0.190355,-0.022994999999999998,0.287049,-0.17465,-0.059713999999999996,0.33576100000000003,0.001338,0.019928,0.016048
10,-0.27153,-0.043615,0.321875,-0.216617,-0.02238,0.276181,-0.26662399999999997,-0.06519,0.301677,0.01494,0.026251999999999998,0.015604
11,-0.27468899999999996,-0.040246,0.321382,-0.23032199999999997,-0.013893,0.279373,-0.273918,-0.050832,0.29591100000000004,0.011720999999999999,0.017721999999999998,0.010882
12,-0.268414,0.050195,0.31708600000000003,-0.26153899999999997,0.04618,0.281231,-0.281408,0.037659,0.306587,1e-06,1e-06,0.0
13,-0.266474,0.053863999999999995,0.317062,-0.27206199999999997,0.061349,0.26962800000000003,-0.281408,0.037659,0.306587,1e-06,1e-06,0.0
14,-0.179635,-0.038185000000000004,0.330152,-0.19223800000000002,-0.020123,0.290435,-0.17973499999999998,-0.055337,0.332516,0.0015630000000000002,0.015916,0.012847999999999998
15,-0.274793,-0.037551,0.32136,-0.23045,-0.015733,0.276912,-0.267317,-0.06934,0.34665799999999997,0.024249,0.043335000000000005,0.035851999999999995
16,-0.261729,0.057227999999999994,0.324637,-0.268047,0.068343,0.28421,-0.27474,0.057955999999999994,0.333523,3e-06,3e-06,4e-06
17,-0.178316,0.014559,0.330457,-0.18787,0.022997,0.299419,-0.19559200000000002,0.009641,0.312567,1e-06,4e-06,2e-06
18,-0.197955,-0.031915,0.329948,-0.190872,-0.017215,0.294579,-0.186621,-0.040785,0.341998,0.001801,0.011931,0.011079
19,-0.192796,-0.031824,0.33121799999999996,-0.195702,-0.017082,0.29339,-0.183185,-0.044327,0.35527600000000004,0.002495,0.019679,0.019355
20,-0.24855300000000002,0.064412,0.33689,-0.266527,0.083267,0.271783,-0.23854699999999998,0.083209,0.358775,7.000000000000001e-06,2e-05,3.3e-05
21,-0.190923,-0.005253,0.328007,-0.187616,0.004416,0.312612,-0.19560999999999998,-0.020891,0.32910700000000004,5e-06,8.2e-05,3.2e-05
22,-0.190603,-0.007755,0.327544,-0.193455,0.009861,0.316669,-0.19560999999999998,-0.020891,0.32910700000000004,5e-06,8.2e-05,3.2e-05
23,-0.268334,-0.015119999999999998,0.323625,-0.24263800000000002,-0.001442,0.286283,-0.275385,-0.021417,0.34324899999999997,0.015064,0.018727,0.019922
24,-0.23144800000000001,-0.021803,0.32913000000000003,-0.227981,-0.016896,0.277027,-0.24736100000000003,-0.07543899999999999,0.332039,0.016723,0.038083,0.027879
25,-0.177286,-0.018006,0.328061,-0.19563699999999998,0.0016120000000000002,0.306084,-0.18855,-0.032777999999999995,0.314064,0.0,4e-06,2e-06
26,-0.198262,0.010713,0.331196,-0.195374,0.037015,0.325117,-0.19714600000000002,0.015122,0.351917,2e-06,6e-06,5e-06
27,-0.197942,0.013237,0.331851,-0.198796,0.041829000000000005,0.332158,-0.19714600000000002,0.015122,0.351917,2e-06,6e-06,5e-06
28,-0.173744,-0.011316,0.32760100000000003,-0.184347,-0.004242,0.300877,-0.18671,-0.025706,0.314705,1e-06,6e-06,2e-06
29,-0.173156,-0.013503,0.327092,-0.192435,0.006078,0.307106,-0.18671,-0.025706,0.314705,1e-06,6e-06,2e-06
30,-0.2753,0.046902,0.333549,-0.234316,0.05149,0.329764,-0.26824000000000003,0.041947000000000005,0.360608,0.004182,0.00321,0.006368
31,-0.196454,-0.009395,0.333251,-0.189392,0.001508,0.31399,-0.190555,-0.022303,0.335547,0.0,2e-06,2e-06
32,-0.265027,0.033299,0.322913,-0.247491,0.044160000000000005,0.312098,-0.271122,0.036701,0.335025,6e-06,8e-06,7.000000000000001e-06
