,I0,I1,I2,F1,F2,F3
96,0.1477498009,-17.0770265388,38.5803008859,-0.144029,-0.036705,0.33236
97,0.1477498009,-17.0770265388,38.5803008859,-0.144029,-0.036705,0.33236
98,-7.3241713073,3.1280186562,20.3306797224,-0.234349,-0.013531,0.312077
99,-1.1999485192,-16.1423258866,37.6520262831,-0.146785,-0.034029,0.341129
100,-5.8813079031,7.2376310981,19.8635153094,-0.237467,0.00337,0.332005
101,-5.5108687507,-1.4661049174,37.2962744803,-0.154056,-0.018431,0.323898
102,-5.5108687507,-1.4661049174,37.2962744803,-0.154056,-0.018431,0.323898
103,-3.6708632581,15.4159214127,22.9227146405,-0.225304,0.039017,0.306249
104,-2.5355520132,19.0471907968,28.0855398561,-0.207828,0.06496,0.313496
105,-5.7276448814,13.29027284,20.4406425171,-0.23208,0.018411,0.304808
106,1.2327149079,-10.1261412293,34.9340305249,-0.156921,-0.011228,0.352682
107,-5.6811793576,-18.1749765038,21.6579795428,-0.199311,-0.064453,0.316855
108,-5.6811793576,-18.1749765038,21.6579795428,-0.199311,-0.064453,0.316855
109,-5.6811793576,-18.1749765038,21.6579795428,-0.199311,-0.064453,0.316855
110,-7.2375789289,6.8031962934,21.034345111,-0.226109,-0.005767,0.306077
111,-7.2375789289,6.8031962934,21.034345111,-0.226109,-0.005767,0.306077
112,-7.2375789289,6.8031962934,21.034345111,-0.226109,-0.005767,0.306077
113,-6.9420353962,-1.1589378219,21.9780586833,-0.225253,-0.023183,0.318281
114,-3.9825017629,12.5712831833,34.8935172425,-0.154016,0.015168,0.339288
115,-4.6680757213,-9.5647722475,19.5963066331,-0.212732,-0.05175,0.347695
116,-3.8621269872,-10.7054605334,22.8855106243,-0.217035,-0.04343,0.32071
117,-0.683613396,-17.5978537174,39.0133854783,-0.134893,-0.04205,0.349711
118,-9.2608000404,24.0912222131,35.1412997603,-0.14005,0.037714,0.332997
119,-3.3945412972,-7.7475828361,23.0891281482,-0.214832,-0.046616,0.362767
120,-6.4526508288,4.2294726098,21.6905385437,-0.221364,-0.010316,0.324944
121,-6.7167304098,6.8078286585,22.8088750184,-0.219271,-0.002051,0.307532
122,-6.7167304098,6.8078286585,22.8088750184,-0.219271,-0.002051,0.307532
123,-7.0205623107,5.7816319437,22.7010905769,-0.219095,-0.005851,0.307569
124,-4.3862441206,-14.798868734,25.4048207643,-0.201135,-0.052528,0.311388
125,-4.3862441206,-14.798868734,25.4048207643,-0.201135,-0.052528,0.311388
126,-4.3405771881,11.9566504378,26.4223855514,-0.214668,0.027721,0.30851
127,-4.3757848728,-14.261606353,26.2626713587,-0.193254,-0.06357,0.348521
128,-2.349025073,-3.2321437849,22.8501846888,-0.215728,-0.003405,0.351861
129,-2.349025073,-3.2321437849,22.8501846888,-0.215728,-0.003405,0.351861
130,-3.6300334315,-10.0703996112,24.2622975797,-0.204765,-0.04134,0.341334
131,-2.8975129331,11.9268829808,26.5792159205,-0.206898,0.037526,0.338771
132,-2.5947775566,13.561570263,28.2524245793,-0.202967,0.043982,0.334402
133,-2.5947775566,13.561570263,28.2524245793,-0.202967,0.043982,0.334402
134,-6.3180376902,3.9366925295,23.1453588441,-0.214697,-0.009657,0.324045
135,-6.3180376902,3.9366925295,23.1453588441,-0.214697,-0.009657,0.324045
136,-2.5930729092,-6.573543953,26.6298247279,-0.200982,-0.036269,0.346697
137,-2.5930729092,-6.573543953,26.6298247279,-0.200982,-0.036269,0.346697
138,-5.4825817395,6.1155564337,28.6289029707,-0.206463,0.00817,0.310255
139,-3.9697316216,8.2293997838,24.8086593575,-0.207958,0.017921,0.34457
