,I0,I1,I2,I3,I4,I5,I6,I7,I8,O0,O1,O2,O3,O4,O5,O6
0,-5.529946999999999,24.820423000000005,17.0,91.0,132.0,181.99999999999997,91.0,132.0,185.00000000000003,-84.37726500000001,24.480704,45.351524,67.39177600000001,-0.8230329999999965,0.0,-0.35544399999999915
1,8.591751,-4.415401000000002,26.0,101.00000000000001,174.0,458.0,104.00000000000001,183.0,500.00000000000006,-95.0,23.425444,70.044596,90.912524,-6.782262000000004,-17.09991,6.151821999999999
2,-12.026244,1.1259690000000029,17.0,260.0,79.0,278.0,261.0,84.0,235.0,-77.281023,25.354828,24.900082,78.205694,-2.9044429999999974,-0.0016109999999991912,-8.259008
3,7.886633999999997,-25.95326,26.0,178.0,166.0,430.0,178.99999999999997,175.0,515.0,-95.0,23.419576,70.181898,92.57921500000002,12.664949000000004,-14.982544,6.716704000000001
4,-19.775171,-29.178047999999997,17.0,170.0,91.0,212.0,169.0,86.0,261.0,-95.0,22.999999,80.0,82.713934,-88.664558,-20.543022,3.503663
5,5.4989669999999995,-2.6614740000000006,26.0,129.0,132.0,390.0,129.0,133.0,359.0,-95.0,23.670389,64.312878,87.673407,23.330340000000007,-13.599860999999999,6.6296550000000005
6,-14.245807000000001,22.88379,26.0,86.0,44.0,442.0,90.0,50.0,450.0,-88.603285,24.474455,45.497747,86.004271,-0.6495500000000024,0.0,-5.128562
7,9.795301,24.879031,17.0,157.0,187.0,253.0,158.0,178.0,210.0,-72.71806099999999,25.449052,22.695029,82.947265,-0.4202300000000014,-0.01989900000000067,-7.06854
8,-17.84427,-21.186617000000002,27.0,172.99999999999997,97.0,462.0,172.99999999999997,93.0,502.0,-95.0,23.417995,70.218897,91.78886500000002,0.6449730000000071,-10.010507,2.7845540000000013
9,6.103658000000001,-8.442308000000002,27.0,79.0,149.0,524.0,79.0,156.0,744.0,-95.0,23.430447,69.927525,96.99159999999999,-53.724378,-20.551273000000002,2.1781400000000004
10,5.815625000000001,-27.264497,17.0,197.0,187.0,215.0,200.0,195.0,230.0,-95.0,22.999999,80.0,74.99234200000001,-79.838093,-20.596997,0.5584569999999989
11,-18.311173,-14.122928,17.0,159.0,92.0,185.0,160.0,90.0,181.0,-95.0,22.999999,80.0,71.58058,-46.790616,-19.46128,3.8299339999999997
12,5.853773000000002,28.277509999999996,17.0,76.0,186.0,207.0,78.0,182.0,217.0,-83.3616,24.531433,44.164451,68.218228,-0.1863849999999958,0.0,-0.9683190000000009
13,-18.720903,13.791674999999998,17.0,144.0,76.0,168.0,145.0,78.0,175.0,-83.3616,24.531433,44.164451,68.218228,-0.1863849999999958,0.0,-0.9683190000000009
14,-10.200494,-22.126813000000002,27.0,152.0,100.0,443.99999999999994,151.0,95.0,570.0,-95.0,23.424259,70.072317,95.61679900000001,-62.244285999999995,-20.786609,1.2125389999999991
15,2.6116190000000006,-24.97302,17.0,185.00000000000003,122.99999999999999,165.0,184.0,122.99999999999999,193.0,-95.0,23.319470000000003,72.524389,76.698916,-88.170997,-20.658756,-1.7664309999999996
16,5.59006,25.547453,17.0,116.0,150.0,180.0,116.0,147.0,183.00000000000003,-87.66805500000001,24.745876000000003,39.146491999999995,66.296042,-1.0871410000000012,0.0,-0.8484080000000007
17,-19.979148000000002,12.625975000000002,27.999999999999996,122.0,87.0,499.0,123.0,89.0,495.0,-76.816991,24.572770000000002,43.197169,97.13803999999999,-1.3723380000000027,0.0,-9.243599
18,8.826486000000003,-24.229884,27.999999999999996,186.0,148.0,463.00000000000006,186.0,154.0,484.0,-95.0,23.582102,66.37879000000001,93.19826099999999,-68.62349,-20.836289,0.5711669999999988
19,9.480238000000002,-18.446374,27.999999999999996,153.0,128.0,470.0,153.0,130.0,538.0,-95.0,23.661172,64.52856700000001,94.122865,-56.77623199999999,-20.568545,1.9692269999999996
20,8.441173000000001,27.991225,18.0,148.0,126.0,261.0,148.0,124.99999999999999,214.0,-86.06446899999999,25.234074,27.722664,77.208713,1.0731650000000057,0.0,-3.7482110000000004
21,9.601099999999999,-26.295276,27.999999999999996,235.99999999999997,181.0,540.0,239.0,189.0,551.0,-93.069211,23.884726,59.297401,88.33844599999999,-0.07347599999999833,0.0,-3.1723110000000014
22,-18.113046,15.177073999999998,27.999999999999996,48.99999999999999,62.0,604.0,52.00000000000001,59.0,599.0,-93.069211,23.884726,59.297401,88.33844599999999,-0.07347599999999833,0.0,-3.1723110000000014
23,5.387268999999999,-11.800094,18.0,182.0,139.0,173.99999999999997,183.0,140.0,168.0,-95.0,23.570794,66.643401,70.338578,-54.362506,-20.447884,2.2919179999999986
24,-12.658268,-27.152298,18.0,178.99999999999997,83.0,212.0,178.99999999999997,78.0,241.00000000000003,-95.0,23.206039999999998,75.178653,80.8739,89.09080599999999,-8.166514,2.1591630000000013
