26.588122 0.000000 -40.545480 0.000000 0.000000 28.000000 -95.000000 25.708954 16.610471 106.000000 12.626420 -18.459038 -15.671572 -0.084377 0.126344 0.392760 -0.087655 0.126913 0.388194 0.003278 -0.000569 0.004566 
26.588122 0.000000 -31.749496 0.000000 0.000000 28.000000 -95.000000 25.420857 23.351940 106.000000 -37.499997 -12.202881 -3.599899 -0.100140 0.103105 0.400650 -0.103216 0.104431 0.393550 0.003075 -0.001326 0.007100 
26.588122 0.000000 -25.388027 0.000000 0.000000 28.000000 -95.000000 25.212828 28.219822 106.000000 -37.499941 -16.141390 1.408468 -0.109523 0.084633 0.405345 -0.113046 0.087559 0.393477 0.003523 -0.002926 0.011869 
26.588122 0.000000 -19.859128 0.000000 0.000000 28.000000 -95.000000 25.038429 32.300756 105.999985 37.086053 -11.427436 5.296056 -0.116050 0.067972 0.408612 -0.119810 0.073265 0.391273 0.003759 -0.005293 0.017339 
26.588122 0.000000 -13.741467 0.000000 0.000000 28.000000 -95.000000 24.849337 36.725496 105.061797 -34.121256 -18.647478 4.810807 -0.121884 0.048669 0.411531 -0.126325 0.057922 0.387303 0.004441 -0.009252 0.024228 
20.711642 0.000000 -3.673851 0.000000 0.000000 28.000000 -95.000000 24.456625 45.914967 101.377254 38.776664 -11.469913 5.805224 -0.142382 0.012678 0.403330 -0.144915 0.027818 0.375903 0.002532 -0.015140 0.027427 
9.670160 0.000000 -3.673851 0.000000 0.000000 28.000000 -95.000000 24.244570 50.877059 93.954885 2.260001 -15.580489 6.486045 -0.174111 0.012233 0.374167 -0.173742 0.015518 0.368971 -0.000369 -0.003285 0.005196 
2.890541 0.000000 -3.673851 0.000000 0.000000 28.000000 -91.666672 24.396128 47.330593 88.569108 -0.623747 0.000000 -5.736266 -0.190432 0.012200 0.353628 -0.190433 0.012206 0.353624 0.000001 -0.000005 0.000005 
-1.434578 0.000000 -3.673851 0.000000 0.000000 28.000000 -86.649059 24.459996 45.836072 89.704636 -1.217901 0.000000 -6.310110 -0.199660 0.012200 0.339374 -0.199660 0.012204 0.339370 0.000001 -0.000004 0.000004 
-11.024077 0.000000 -3.673851 0.000000 0.000000 28.000000 -75.696830 24.583706 42.941270 92.260937 -1.033261 0.000000 -8.164748 -0.215924 0.012197 0.305980 -0.215925 0.012200 0.305977 0.000001 -0.000003 0.000002 
-16.386343 0.000000 -3.673851 0.000000 0.000000 28.000000 -69.493815 24.646709 41.466986 93.644210 0.181075 0.000000 -9.904838 -0.222588 0.012197 0.286056 -0.222628 0.012365 0.285960 0.000040 -0.000169 0.000096 
-9.226767 0.000000 3.485725 0.000000 0.000000 28.000000 -81.418064 24.213112 51.613161 89.084771 -0.987560 0.000000 -5.650522 -0.216458 -0.008076 0.305102 -0.216458 -0.008073 0.305099 -0.000000 -0.000004 0.000003 
0.000000 0.000000 -14.668074 0.000000 0.000000 24.000000 -80.575086 25.002120 33.150374 88.043719 -1.289427 -0.029945 -7.811578 -0.216702 0.050672 0.340784 -0.216703 0.050673 0.340782 0.000001 -0.000001 0.000002 
0.000000 0.000000 -20.916983 0.000000 0.000000 24.000000 -76.676858 25.336530 25.325192 91.635802 -1.923333 -0.000001 -10.287511 -0.209998 0.072879 0.340784 -0.210031 0.072928 0.340729 0.000033 -0.000049 0.000056 
0.000000 0.000000 -26.320110 0.000000 0.000000 24.000000 -74.004275 25.602506 19.101343 95.071005 -2.101235 0.000000 -11.202493 -0.202288 0.091400 0.340785 -0.202300 0.091404 0.340772 0.000012 -0.000004 0.000013 
0.000000 0.000000 -36.888243 0.000000 0.000000 24.000000 -70.731714 26.072119 8.112411 100.886656 -3.130538 -0.000001 -13.939373 -0.182215 0.125370 0.340786 -0.182276 0.125397 0.340747 0.000061 -0.000027 0.000039 
0.000000 0.000000 -51.038626 0.000000 0.000000 24.000000 -69.241442 32.933233 -1.552321 106.000000 -9.334209 0.000000 -20.000000 -0.146360 0.163906 0.340789 -0.146363 0.163907 0.340791 0.000003 -0.000002 -0.000002 
-14.166605 0.000000 -36.872021 0.000000 0.000000 24.000000 -55.055108 26.413973 2.645966 105.057885 -3.812855 -0.001750 -16.259104 -0.199465 0.131396 0.299250 -0.200115 0.131544 0.299105 0.000650 -0.000148 0.000145 
-24.180381 0.000000 -26.858245 0.000000 0.000000 24.000000 -45.531390 25.961402 10.703177 102.578152 -3.103132 0.000000 -17.071398 -0.228014 0.100122 0.256813 -0.228017 0.100124 0.256812 0.000003 -0.000002 0.000001 
-31.729028 0.000000 -19.309598 0.000000 0.000000 24.000000 -39.941472 25.646639 18.109054 100.365319 -2.443209 -0.010113 -17.503761 -0.240185 0.074287 0.221553 -0.240359 0.074344 0.221520 0.000174 -0.000057 0.000033 
-36.744943 0.000000 -14.293683 0.000000 0.000000 24.000000 -36.920808 25.415299 23.481998 99.459613 -2.064284 0.000000 -16.364476 -0.243605 0.056570 0.198049 -0.243609 0.056571 0.198049 0.000004 -0.000001 0.000000 
-36.744943 0.000000 -14.293683 0.000000 0.000000 24.000000 -36.717305 25.394798 23.961705 99.339103 -2.251858 0.000000 -16.315332 -0.243725 0.055113 0.196155 -0.243728 0.055114 0.196154 0.000003 -0.000001 0.000000 
-36.744943 0.000000 -14.293683 0.000000 0.000000 24.000000 -36.655900 25.385810 24.172032 99.218245 -2.296936 0.000000 -16.474004 -0.243768 0.054506 0.195368 -0.243771 0.054508 0.195367 0.000003 -0.000002 0.000001 
