,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7
0,0.9541066075371212,0.14677468409354166,0.19999999999999996,0.0,0.03518123285243546,0.4582091538461539,1.0,0.5560613206545285,0.7937048791819281,0.11094052473985377
1,0.9541066075371212,0.23726593819977237,0.19999999999999996,0.0,0.03143971346909835,0.5158285470085471,1.0,0.26476618715874517,0.863622643269733,0.4203456337327549
2,0.9541066075371212,0.3027114082879296,0.19999999999999996,0.0,0.028738038214596362,0.5574343760683762,1.0,0.2647665125865027,0.8196065255284909,0.5487134529663813
3,0.9541066075371212,0.35959157136424774,0.19999999999999996,0.0,0.026473116195503466,0.5923141538461539,0.9999994467861573,0.6982013834480226,0.872288886871527,0.6483549516103136
4,0.9541066075371212,0.42252879545273825,0.19999999999999996,0.0,0.024017375999548618,0.6301324444444445,0.965398207565022,0.28440076049445107,0.7915989052646006,0.6359176929359198
5,0.8697082678483384,0.5261023351158339,0.19999999999999996,0.0,0.01891722028786441,0.7086749316239317,0.8295088615452904,0.7080258789218251,0.8718141710251762,0.6614052703636213
6,0.7111298759362445,0.5261023351158339,0.19999999999999996,0.0,0.01616325932043483,0.7510859743589744,0.5557650432950685,0.49581988336053195,0.8258750612756938,0.6788551711114014
7,0.6137606026089251,0.5261023351158339,0.19999999999999996,0.0317459809523809,0.01813154498359626,0.7207742991452992,0.35713261741807045,0.4790618182742482,1.0,0.36558910872716227
8,0.551642997757652,0.5261023351158339,0.19999999999999996,0.07953277142857151,0.018960999507506515,0.7080006153846155,0.3990119379490271,0.4756090646344448,1.0,0.3508811005360091
9,0.41391806819995025,0.5261023351158339,0.19999999999999996,0.18383971428571433,0.02056762284239938,0.6832587179487181,0.49329067784148783,0.47668204644059825,1.0,0.30334547953862323
10,0.3369048991991861,0.5261023351158339,0.19999999999999996,0.24291604761904773,0.021385843600367715,0.6706580000000001,0.544307062597142,0.4837388078929226,1.0,0.25874580092676414
11,0.43973113655142027,0.5997585640390415,0.19999999999999996,0.12935177142857146,0.015754713876500903,0.7573774444444445,0.376150744723565,0.47694762454676715,1.0,0.36778678519383656
12,0.5722464885130115,0.41299605534161343,0.0,0.13738013333333343,0.02600157075320597,0.5995758461538463,0.3377557862572016,0.4751934120311794,0.9996653396892679,0.31239746449075234
13,0.5722464885130115,0.34870857912454534,0.0,0.1745061142857144,0.030344557653388116,0.5326939487179487,0.4702351221527512,0.4715096511732314,0.9999999888241673,0.24893763421502163
14,0.5722464885130115,0.2931223322276391,0.0,0.19995928571428567,0.033798791329901545,0.4794986581196582,0.5969285788758834,0.470475825299757,1.0,0.22548602933502343
15,0.5722464885130115,0.18439957776020915,0.0,0.23112653333333344,0.039897661301359466,0.38557616239316245,0.8114151545703447,0.4644943294590986,0.9999999888241673,0.15533795170730008
16,0.5722464885130115,0.03882338028719334,0.0,0.24531959999999997,0.1290030356103108,0.3029716153846154,1.0,0.4284434947842619,1.0,0.0
17,0.3687849024909695,0.18456646632254758,0.0,0.380427542857143,0.04433732352370584,0.3388544102564103,0.9652539293949398,0.46052924211600277,0.999980442292744,0.09588168389013746
18,0.2249664825498855,0.287586111262656,0.0,0.47112961904761913,0.03845977822182395,0.4077194615384616,0.8737990880011641,0.46465359147913454,1.0,0.07506204160822011
19,0.11655238538683688,0.3652450217194322,0.0,0.5243669333333334,0.03437194715917019,0.4710175555555556,0.7921877649087534,0.46848854258649053,0.9998869788037257,0.06398028673136957
20,0.044513529129339036,0.41684771208815663,0.0,0.553135161904762,0.03136753165279138,0.5169401538461539,0.7587844918227433,0.47069055531881665,1.0,0.09318092856444238
21,0.2543747184139234,0.2665204888013937,0.0,0.4714326666666668,0.03846816783199564,0.4076790854700855,0.8759267484388027,0.46515465724632354,0.999980207600257,0.07833197729983515
22,0.4412795098976833,0.13263732373707293,0.0,0.34798028571428585,0.04407451833572679,0.32145230769230776,0.9815762825276368,0.4580406495647292,0.9999945685452992,0.06670182853325496
23,0.5440053995588838,0.05905296532899873,0.0,0.2754304285714285,0.10759624395853912,0.3016963504273505,1.0,0.44630864185671704,1.0,0.0
24,0.6115743815949667,0.010652123898718835,0.0,0.2286970285714286,0.15182400904353227,0.31699801709401715,1.0,0.29564389435376054,1.0,0.0
25,0.7284311707762017,0.0943586820379585,0.0,0.13950220952380932,0.07691888111899015,0.3386145555555556,0.9339277530013788,0.4543766351982094,0.9979127679541401,0.13387836276999093
26,0.7846551332648072,0.13463287762083942,0.0,0.0980971523809524,0.04119892100782019,0.36567647863247865,0.8672998949004342,0.46706284939209786,0.9944896886235309,0.2061598607659798
27,0.8298805464647725,0.16702863062687828,0.0,0.06263211428571414,0.03925985612312061,0.3963782393162394,0.7660155499559655,0.474868699052505,0.9999830797892654,0.1992779480451895
28,0.9501881788495448,0.2532070879965365,0.0,0.0,0.0319886485197754,0.5073749145299146,0.8614464867583282,0.7073803057966768,0.8798686383681693,0.6463576813795617
29,0.7913154078587163,0.1394037588732076,0.0,0.06815637142857145,0.03952623273957834,0.3912961880341881,0.7869924230725727,0.4659809938683426,0.9999925345437446,0.20879184899473424
30,0.6071934659535235,0.007513987256326793,0.0,0.21092984761904765,0.15849256731188138,0.31055502564102566,1.0,0.34988718669057667,1.0,0.0
31,0.6071934659535235,0.07106435346211498,0.0,0.21994274285714288,0.1126842048653453,0.30911356410256413,0.9999247629174417,0.45389149214629804,0.9992988841344537,0.060179975513479755
32,0.6071934659535235,0.12589633031063252,0.0,0.2144733333333334,0.0576716608396971,0.3344531794871795,0.9424800701947227,0.4586198702946075,0.9999999888241673,0.13488354652244045
33,0.6071934659535235,0.21710352215214185,0.0,0.20287299047619056,0.03890620678165696,0.40084451282051287,0.7739027197062036,0.46479607653602945,1.0,0.1814456376491218
