,I1,u1,I2,u2,u3,I3,O1,O2,O3,O4,O5,O6,O7,x1,x2,x3,y1,y2,y3,u12,u13,u14
695,-17.522583,0,-15.678855,0,0,29,-59.792121,25.25743,27.176136,101.554419,-1.917806,-0.000001,-13.83787,-0.21277,0.050123,0.285167,-0.212773,0.050127,0.285165,0.000003,-0.000004,0.000002
696,-21.208971,0,-15.678855,0,0,29,-55.556394,25.288048,26.459686,102.489799,-2.110942,-0.000003,-14.70151,-0.216216,0.050123,0.271774,-0.216217,0.050124,0.271773,0.000001,-0.000001,0.000001
697,-36.126014,0,-0.761811,0,0,29,-48.775331,24.689814,40.458342,99.544972,-1.229494,0,-13.160837,-0.226733,0.005653,0.21258,-0.226734,0.005657,0.212579,0.000002,-0.000004,0.000002
698,-28.884689,0,-8.003136,0,0,29,-50.226301,24.935175,34.7169,100.747018,-1.872933,0,-13.970271,-0.225854,0.022585,0.233177,-0.225858,0.02259,0.233175,0.000004,-0.000005,0.000002
699,-22.410194,0,-14.477632,0,0,29,-53.14315,25.214827,28.195995,102.12789,-0.137029,-0.005345,-15.292247,-0.220229,0.043028,0.258968,-0.220423,0.043162,0.258898,0.000194,-0.000133,0.00007
700,-12.389851,0,-24.497975,0,0,29,-59.513554,25.575508,19.733353,104.668992,-2.437657,-0.000018,-15.258277,-0.201108,0.073838,0.297888,-0.201115,0.073842,0.297885,0.000007,-0.000005,0.000003
701,-4.840519,0,-32.047307,0,0,29,-65.760604,25.799389,14.494291,106,-4.536411,-0.000007,-16.515885,-0.178674,0.095637,0.323896,-0.178708,0.095651,0.323886,0.000034,-0.000014,0.00001
702,6.127965,0,-43.015791,0,0,29,-76.915781,25.899063,12.461557,106,-36.814631,0,-20,-0.135995,0.124005,0.352618,-0.136458,0.124057,0.353275,0.000463,-0.000051,-0.000656
703,14.642627,0,-51.530452,0,0,29,-87.984521,26.364552,9.499396,106,-36.814618,0,-20,-0.096181,0.143155,0.365568,-0.099074,0.144275,0.372019,0.002894,-0.00112,-0.00645
704,8.597975,0,-45.485801,0,0,29,-82.628643,27.400205,11.24786,106,-36.814536,0,-20,-0.115186,0.13464,0.360727,-0.11719,0.135111,0.364287,0.002004,-0.000471,-0.00356
705,3.36851,0,-40.256336,0,0,29,-76.001929,27.947997,13.615059,106,-36.814628,0,-20,-0.138982,0.122347,0.35119,-0.139176,0.122366,0.351457,0.000194,-0.000019,-0.000267
706,-1.052668,0,-35.835158,0,0,29,-71.544254,25.931604,11.400462,106,-7.134623,0,-20,-0.157277,0.111263,0.340722,-0.15728,0.111264,0.340722,0.000003,-0.000001,0
707,-10.680521,0,-26.207305,0,0,29,-62.436602,25.694219,16.955403,105.519051,-2.949305,-0.00003,-15.505708,-0.190823,0.084819,0.31126,-0.190829,0.084822,0.311259,0.000005,-0.000003,0.000002
708,-23.790657,0,-13.097168,0,0,29,-53.508417,25.235074,27.699257,102.339704,-2.180411,0,-14.927538,-0.219295,0.045272,0.26182,-0.219296,0.045274,0.261819,0.000002,-0.000002,0.000001
709,-38.685909,0,1.798083,0,0,29,-48.293399,24.563231,43.420386,99.100453,-1.739428,0,-12.211664,-0.226007,-0.002475,0.202826,-0.226012,-0.002468,0.202823,0.000005,-0.000007,0.000003
710,-33.964266,0,-2.92356,0,0,29,-48.745686,24.699354,40.235114,99.686256,-1.173023,0,-12.981257,-0.226744,0.006212,0.21312,-0.226746,0.006215,0.213118,0.000002,-0.000003,0.000001
711,-24.002501,0,-12.885325,0,0,29,-52.3255,25.144272,29.824042,101.84552,-2.067018,-0.000143,-14.636939,-0.222051,0.03815,0.252768,-0.222053,0.038152,0.252767,0.000002,-0.000002,0.000001
712,-10.557714,0,-26.330112,0,0,29,-60.879978,25.635793,18.324979,105.15133,-2.368999,-0.000398,-15.262398,-0.196326,0.079201,0.304476,-0.19634,0.07921,0.30447,0.000014,-0.000009,0.000006
713,-7.321414,0,-29.566412,0,0,29,-63.511299,25.746486,16.015959,105.808291,-3.243087,-0.000668,-15.534876,-0.186765,0.088638,0.315794,-0.186903,0.088704,0.315742,0.000138,-0.000065,0.000052
714,2.780661,0,-39.668487,0,0,29,-73.28132,25.935834,11.301474,106,-14.757757,0,-20,-0.150172,0.115766,0.345151,-0.150174,0.115767,0.345152,0.000002,-0.000001,-0.000001
715,10.44877,0,-47.336596,0,0,29,-81.976291,34.1919,14.143089,106,-36.814605,0,-20,-0.116412,0.134055,0.360333,-0.118341,0.134492,0.363713,0.001929,-0.000437,-0.00338
716,21.619682,0,-36.165684,0,0,29,-92.351627,25.723534,16.269305,104.738109,-3.202278,-0.000065,-12.67945,-0.106695,0.111906,0.385726,-0.106703,0.11191,0.385721,0.000008,-0.000004,0.000004
717,8.644575,0,-36.165684,0,0,29,-81.379482,25.823818,13.922766,105.970115,-3.318669,-0.000041,-13.887808,-0.136898,0.109578,0.364487,-0.136902,0.109579,0.364486,0.000004,-0.000001,0.000001
718,-6.116865,0,-36.165684,0,0,29,-66.079674,25.858045,13.121741,106,-27.45549,0,-20,-0.168228,0.109456,0.326944,-0.168231,0.109457,0.326946,0.000002,-0.000001,-0.000001
719,-12.413694,0,-36.165684,0,0,29,-60.133471,29.042742,14.579573,106,-36.814616,0,-20,-0.178356,0.109451,0.308853,-0.181524,0.109438,0.311378,0.003168,0.000013,-0.002526
720,-22.155699,0,-36.165684,0,0,29,-50.830334,28.01283,12.599787,106,-36.814612,0,-20,-0.190078,0.109449,0.27865,-0.199945,0.109412,0.284339,0.009867,0.000037,-0.005689
721,-31.119631,0,-36.165684,0,0,29,-65.840039,75.262339,54.528874,106,-36.814629,0,-20,-0.196147,0.109449,0.24975,-0.213394,0.109387,0.256679,0.017247,0.000062,-0.006929
722,-37.572512,0,-36.165684,0,0,29,-35.743049,27.159487,10.518656,106,-36.81458,0,-20,-0.197704,0.109449,0.228281,-0.220851,0.109366,0.234844,0.023148,0.000083,-0.006563
723,-37.572512,0,-25.300915,0,0,29,-45.983529,58.570739,42.273412,106,-36.814251,0,-20,-0.210789,0.082292,0.214915,-0.223,0.080592,0.217334,0.01221,0.001699,-0.002419
724,-37.572512,0,-16.94952,0,0,29,-34.715246,25.763886,26.224378,106,-36.81463,0,-20,-0.218891,0.057167,0.208634,-0.219881,0.056915,0.208792,0.00099,0.000252,-0.000159
725,-37.572512,0,-3.380378,0,0,29,-43.497741,24.846586,36.820408,101.845575,-1.569748,-0.00109,-13.807163,-0.225616,0.014182,0.203453,-0.225884,0.014437,0.203342,0.000267,-0.000255,0.000111
726,-37.572512,0,5.989771,0,0,29,-52.846254,24.324342,49.010379,97.061118,-0.709391,0,-10.29236,-0.225498,-0.016008,0.203544,-0.225499,-0.016006,0.203543,0.000001,-0.000003,0.000001
727,-37.572512,0,18.92884,0,0,29,-71.982439,23.389033,70.896621,90.842877,-0.314364,0,-2.963921,-0.218922,-0.057041,0.208604,-0.218921,-0.057038,0.208604,0,-0.000003,0
