,I1,u1,I2,u2,u3,I3,O1,O2,O3,O4,O5,O6,O7,x1,x2,x3,y1,y2,y3,u12,u13,u14
1520,19.367504999999998,0.0,-23.35612,0.0,0.0,32.0,-95.0,25.191726,28.713703999999996,101.47393199999999,-1.995653,-5e-06,-10.618188,-0.11876400000000001,0.071239,0.38671300000000003,-0.11876800000000001,0.071243,0.386709,4e-06,-4e-06,4e-06
1521,19.367504999999998,0.0,-9.913532,0.0,0.0,32.0,-95.0,24.604298,42.459413,104.462074,12.079189999999999,-14.222619,6.531798,-0.130314,0.032813,0.39077199999999995,-0.132088,0.038249,0.37972100000000003,0.0017739999999999998,-0.005436,0.011051
1522,19.367504999999998,0.0,-0.6670560000000001,0.0,0.0,32.0,-95.0,24.353082999999998,48.337854,104.25153,21.665498,-13.365895000000002,6.482468,-0.133213,0.005106,0.391791,-0.136448,0.018796,0.369629,0.003235,-0.013691,0.022162
1523,8.251732,0.0,8.697152,0.0,0.0,32.0,-95.0,23.913882,58.615153,99.499447,43.17035,-11.35572,5.851287,-0.158497,-0.025934,0.36704000000000003,-0.15886199999999998,-0.011061,0.349724,0.000365,-0.014872999999999999,0.017315999999999998
1524,-0.45192,0.0,8.697152,0.0,0.0,32.0,-95.0,23.706292,63.47274300000001,94.79848100000001,-3.3125,-16.580354,6.319301,-0.178229,-0.026080000000000002,0.34255,-0.177813,-0.022249,0.33866,-0.000417,-0.003831,0.00389
1525,-12.681496000000001,0.0,8.697152,0.0,0.0,32.0,-85.61604799999999,23.915835,58.569439,91.821555,-1.94537,0.0,-4.569705,-0.199203,-0.026093,0.30378499999999997,-0.199203,-0.026088,0.303782,0.0,-5e-06,3e-06
1526,-22.29944,0.0,8.697152,0.0,0.0,32.0,-74.796324,24.031515,55.862545999999995,94.32948499999999,-0.796142,0.0,-6.609974,-0.209614,-0.026094,0.27076100000000003,-0.209614,-0.026092,0.27076100000000003,0.0,-2e-06,1e-06
1527,-35.429149,0.0,8.697152,0.0,0.0,32.0,-60.300753,24.137295,53.38727900000001,97.8663,-1.21585,0.0,-8.956038000000001,-0.214667,-0.026094,0.223662,-0.21467399999999998,-0.026056,0.223648,7.000000000000001e-06,-3.8e-05,1.4000000000000001e-05
1528,-39.33639,0.0,12.604393,0.0,0.0,32.0,-59.740153,23.98219,57.01675,97.5506,-0.8094720000000001,0.0,-8.377636,-0.212867,-0.034706,0.210602,-0.212878,-0.034696,0.2106,1.1e-05,-1e-05,3e-06
1529,-36.260459999999995,0.0,15.680323000000001,0.0,0.0,32.0,-65.312915,23.77723,61.812799,95.817706,-1.223183,0.0,-6.540245,-0.211493,-0.043587,0.21647800000000003,-0.211493,-0.043581,0.21647600000000003,0.0,-6e-06,2e-06
