,Unnamed: 0,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
360,406,-17.414555,10.619145,22,-91.599649,24.100678,54.244131,76.738291,-0.38356799999999996,0.0,-1.70501,-0.237467,0.00337,0.332005,2e-06,5e-06,3e-06,117,57,279,120,58,287.0
361,407,-14.608422000000001,-28.933689,22,-91.599649,24.100678,54.244131,76.738291,-0.38356799999999996,0.0,-1.70501,-0.237467,0.00337,0.332005,2e-06,5e-06,3e-06,303,63,402,304,59,412.0
362,408,9.832705,22.596467,22,-88.87983100000001,24.936472,34.686628999999996,82.24718299999999,-1.754368,-0.096955,-4.049532,-0.21570599999999998,0.057012,0.365001,1e-06,2e-06,3e-06,149,121,344,149,121,311.0
363,409,9.862801,9.409085000000001,22,-88.87983100000001,24.936472,34.686628999999996,82.24718299999999,-1.754368,-0.096955,-4.049532,-0.21570599999999998,0.057012,0.365001,1e-06,2e-06,3e-06,200,122,373,200,122,317.0
364,410,-3.0506159999999998,24.494260999999998,22,-88.87983100000001,24.936472,34.686628999999996,82.24718299999999,-1.754368,-0.096955,-4.049532,-0.21570599999999998,0.057012,0.365001,1e-06,2e-06,3e-06,142,68,369,143,75,323.0
365,411,-9.108902,17.633275,22,-88.87983100000001,24.936472,34.686628999999996,82.24718299999999,-1.754368,-0.096955,-4.049532,-0.21570599999999998,0.057012,0.365001,1e-06,2e-06,3e-06,166,40,393,168,50,339.0
366,412,2.7651470000000002,17.917469,22,-70.90379899999999,24.974419,33.798573,92.318209,-1.655618,0.0,-9.159184,-0.225304,0.039017,0.306249,2e-06,5e-06,4e-06,137,182,331,139,176,320.0
367,413,5.940629,1.0182120000000001,22,-70.90379899999999,24.974419,33.798573,92.318209,-1.655618,0.0,-9.159184,-0.225304,0.039017,0.306249,2e-06,5e-06,4e-06,209,202,350,213,195,358.0
368,414,-19.589317,18.499411,22,-70.90379899999999,24.974419,33.798573,92.318209,-1.655618,0.0,-9.159184,-0.225304,0.039017,0.306249,2e-06,5e-06,4e-06,136,89,303,136,92,307.0
369,415,-19.981667,-16.143819,22,-70.90379899999999,24.974419,33.798573,92.318209,-1.655618,0.0,-9.159184,-0.225304,0.039017,0.306249,2e-06,5e-06,4e-06,297,80,448,297,81,444.0
370,416,-5.8080989999999995,24.590452,22,-67.22943199999999,25.370692000000002,24.525788000000002,98.63205500000001,-2.0440840000000002,0.0,-12.823201,-0.207828,0.06496,0.313496,2e-06,2e-06,3e-06,153,136,402,153,133,325.0
371,417,-8.956493,-1.418159,22,-67.22943199999999,25.370692000000002,24.525788000000002,98.63205500000001,-2.0440840000000002,0.0,-12.823201,-0.207828,0.06496,0.313496,2e-06,2e-06,3e-06,270,127,514,270,126,409.0
372,418,-15.985356,24.515368,22,-67.22943199999999,25.370692000000002,24.525788000000002,98.63205500000001,-2.0440840000000002,0.0,-12.823201,-0.207828,0.06496,0.313496,2e-06,2e-06,3e-06,156,96,401,156,100,320.0
373,419,-15.962122,-8.295731,22,-67.22943199999999,25.370692000000002,24.525788000000002,98.63205500000001,-2.0440840000000002,0.0,-12.823201,-0.207828,0.06496,0.313496,2e-06,2e-06,3e-06,308,92,521,308,96,427.0
374,420,1.027081,26.443523,22,-75.943339,24.623716,42.005032,87.66018100000001,-0.369716,0.0,-6.959169999999999,-0.23208,0.018411,0.30480799999999997,1e-06,5e-06,4e-06,67,177,363,69,175,359.0
375,421,-12.512675,-26.340341,22,-75.943339,24.623716,42.005032,87.66018100000001,-0.369716,0.0,-6.959169999999999,-0.23208,0.018411,0.30480799999999997,1e-06,5e-06,4e-06,312,121,300,311,117,295.0
376,422,-19.572754,10.079614,22,-75.943339,24.623716,42.005032,87.66018100000001,-0.369716,0.0,-6.959169999999999,-0.23208,0.018411,0.30480799999999997,1e-06,5e-06,4e-06,144,85,272,145,87,299.0
377,423,-18.165975,-21.381852,22,-75.943339,24.623716,42.005032,87.66018100000001,-0.369716,0.0,-6.959169999999999,-0.23208,0.018411,0.30480799999999997,1e-06,5e-06,4e-06,287,91,408,287,89,405.0
378,424,7.283023,14.252270999999999,23,-92.18621999999999,24.169192000000002,52.640886,78.19628900000001,-0.329227,0.0,-2.4594669999999996,-0.22970900000000002,0.00646,0.339452,1e-06,5e-06,4e-06,108,151,293,109,150,301.0
379,425,3.136592,-27.55351,23,-92.18621999999999,24.169192000000002,52.640886,78.19628900000001,-0.329227,0.0,-2.4594669999999996,-0.22970900000000002,0.00646,0.339452,1e-06,5e-06,4e-06,300,136,396,301,137,420.0
380,426,-10.923845,19.748222,23,-92.18621999999999,24.169192000000002,52.640886,78.19628900000001,-0.329227,0.0,-2.4594669999999996,-0.22970900000000002,0.00646,0.339452,1e-06,5e-06,4e-06,81,71,327,82,73,330.0
381,427,-0.34266199999999997,-4.609115,23,-92.18621999999999,24.169192000000002,52.640886,78.19628900000001,-0.329227,0.0,-2.4594669999999996,-0.22970900000000002,0.00646,0.339452,1e-06,5e-06,4e-06,185,117,287,185,117,284.0
382,428,0.684204,27.619943,23,-67.065076,25.279017,26.670983000000003,99.563986,-1.912771,0.0,-12.685958,-0.20559299999999997,0.056883,0.31044,2e-06,2e-06,1e-06,129,172,444,131,164,378.0
383,429,-6.941284,7.030169,23,-67.065076,25.279017,26.670983000000003,99.563986,-1.912771,0.0,-12.685958,-0.20559299999999997,0.056883,0.31044,2e-06,2e-06,1e-06,216,143,430,216,140,371.0
384,430,-19.174111,27.461939,23,-67.065076,25.279017,26.670983000000003,99.563986,-1.912771,0.0,-12.685958,-0.20559299999999997,0.056883,0.31044,2e-06,2e-06,1e-06,132,89,415,131,95,359.0
