,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
77,2.611619,-24.97302,17,-95,23.31947,72.524389,76.698916,-88.170997,-20.658756,-1.766431,-0.267317,-0.06934,0.346658,0.024249,0.043335,0.035852,185,123,165,184,123,193
78,-9.065369,5.668114,17,-95,23.31947,72.524389,76.698916,-88.170997,-20.658756,-1.766431,-0.267317,-0.06934,0.346658,0.024249,0.043335,0.035852,48,73,229,49,68,243
79,-1.859929,-20.656007,17,-95,23.31947,72.524389,76.698916,-88.170997,-20.658756,-1.766431,-0.267317,-0.06934,0.346658,0.024249,0.043335,0.035852,165,104,175,165,102,181
80,5.59006,25.547453,17,-87.668055,24.745876,39.146492,66.296042,-1.087141,0,-0.848408,-0.27474,0.057956,0.333523,0.000003,0.000003,0.000004,116,150,180,116,147,183
81,8.789078,6.852113,17,-87.668055,24.745876,39.146492,66.296042,-1.087141,0,-0.848408,-0.27474,0.057956,0.333523,0.000003,0.000003,0.000004,192,167,182,193,163,183
82,-13.553273,18.788543,17,-87.668055,24.745876,39.146492,66.296042,-1.087141,0,-0.848408,-0.27474,0.057956,0.333523,0.000003,0.000003,0.000004,145,71,169,145,75,176
83,-12.750552,0.480929,17,-87.668055,24.745876,39.146492,66.296042,-1.087141,0,-0.848408,-0.27474,0.057956,0.333523,0.000003,0.000003,0.000004,221,68,193,223,72,196
84,7.158487,23.51258,18,-77.468868,25.081181,31.300344,78.786032,-1.00906,-0.19397,-5.278736,-0.256796,0.062806,0.320775,0,0.000003,0.000003,135,174,223,135,168,215
85,-0.979888,2.074966,18,-77.468868,25.081181,31.300344,78.786032,-1.00906,-0.19397,-5.278736,-0.256796,0.062806,0.320775,0,0.000003,0.000003,225,143,237,226,140,218
86,-6.748707,21.528167,18,-77.468868,25.081181,31.300344,78.786032,-1.00906,-0.19397,-5.278736,-0.256796,0.062806,0.320775,0,0.000003,0.000003,145,116,207,145,117,202
87,-12.706183,1.262072,18,-77.468868,25.081181,31.300344,78.786032,-1.00906,-0.19397,-5.278736,-0.256796,0.062806,0.320775,0,0.000003,0.000003,229,89,238,230,91,220
88,7.655386,14.278537,18,-95,24.052104,55.380758,66.563787,-89.998487,-20.598536,-1.437786,-0.273845,0.025791,0.356629,0.007653,0.006594,0.010903,129,132,171,129,131,190
90,-16.501106,29.92094,18,-95,24.052104,55.380758,66.563787,-89.998487,-20.598536,-1.437786,-0.273845,0.025791,0.356629,0.007653,0.006594,0.010903,52,15,253,56,24,263
91,-14.986154,-2.590112,18,-95,24.052104,55.380758,66.563787,-89.998487,-20.598536,-1.437786,-0.273845,0.025791,0.356629,0.007653,0.006594,0.010903,196,27,207,201,31,220
92,8.36501,17.275812,18,-95,23.696468,63.70264,70.448931,88.080592,-8.190669,1.919261,-0.27581,-0.0163,0.355096,0.017188,0.020603,0.024282,62,139,207,62,139,202
93,8.865336,-7.475246,18,-95,23.696468,63.70264,70.448931,88.080592,-8.190669,1.919261,-0.27581,-0.0163,0.355096,0.017188,0.020603,0.024282,169,141,178,170,141,169
94,-19.206268,10.7772,18,-95,23.696468,63.70264,70.448931,88.080592,-8.190669,1.919261,-0.27581,-0.0163,0.355096,0.017188,0.020603,0.024282,88,13,241,94,11,227
95,-18.365681,-16.779551,18,-95,23.696468,63.70264,70.448931,88.080592,-8.190669,1.919261,-0.27581,-0.0163,0.355096,0.017188,0.020603,0.024282,208,15,230,214,11,227
96,8.441173,27.991225,18,-86.064469,25.234074,27.722664,77.208713,1.073165,0,-3.748211,-0.238547,0.083209,0.358775,0.000007,0.00002,0.000033,148,126,261,148,125,214
97,9.534414,16.093372,18,-86.064469,25.234074,27.722664,77.208713,1.073165,0,-3.748211,-0.238547,0.083209,0.358775,0.000007,0.00002,0.000033,193,134,277,193,132,226
98,-18.773875,27.857978,18,-86.064469,25.234074,27.722664,77.208713,1.073165,0,-3.748211,-0.238547,0.083209,0.358775,0.000007,0.00002,0.000033,152,10,335,153,27,261
99,-13.287298,19.514692,18,-86.064469,25.234074,27.722664,77.208713,1.073165,0,-3.748211,-0.238547,0.083209,0.358775,0.000007,0.00002,0.000033,182,30,314,184,42,253
101,5.105166,-26.496414,18,-95,23.408669,70.437141,76.811534,-50.151082,-20.360974,2.668665,-0.261712,-0.056574,0.348033,0.019888,0.035049,0.03119,205,131,205,204,132,209
102,1.501482,-12.64021,18,-95,23.408669,70.437141,76.811534,-50.151082,-20.360974,2.668665,-0.261712,-0.056574,0.348033,0.019888,0.035049,0.03119,150,117,179,150,117,209
103,-19.054914,-19.432598,18,-95,23.408669,70.437141,76.811534,-50.151082,-20.360974,2.668665,-0.261712,-0.056574,0.348033,0.019888,0.035049,0.03119,171,33,221,174,24,227
104,4.04304,16.153664,18,-95,23.570794,66.643401,70.338578,-54.362506,-20.447884,2.291918,-0.275385,-0.021417,0.343249,0.015064,0.018727,0.019922,61,134,208,61,134,201
105,5.387269,-11.800094,18,-95,23.570794,66.643401,70.338578,-54.362506,-20.447884,2.291918,-0.275385,-0.021417,0.343249,0.015064,0.018727,0.019922,182,139,174,183,140,168
107,1.56545,-16.165121,18,-95,23.570794,66.643401,70.338578,-54.362506,-20.447884,2.291918,-0.275385,-0.021417,0.343249,0.015064,0.018727,0.019922,203,122,180,203,122,156
108,7.148198,-2.48346,18,-95,23.20604,75.178653,80.8739,89.090806,-8.166514,2.159163,-0.247361,-0.075439,0.332039,0.016723,0.038083,0.027879,72,157,249,73,162,269
109,-1.484339,-27.791867,18,-95,23.20604,75.178653,80.8739,89.090806,-8.166514,2.159163,-0.247361,-0.075439,0.332039,0.016723,0.038083,0.027879,182,125,192,182,126,236
110,-9.412367,-20.969524,18,-95,23.20604,75.178653,80.8739,89.090806,-8.166514,2.159163,-0.247361,-0.075439,0.332039,0.016723,0.038083,0.027879,159,96,208,159,93,244
111,-12.658268,-27.152298,18,-95,23.20604,75.178653,80.8739,89.090806,-8.166514,2.159163,-0.247361,-0.075439,0.332039,0.016723,0.038083,0.027879,179,83,212,179,78,241
113,2.008413,-23.307356,18,-94.999999,23.288452,73.25024,80.122534,31.346458,-12.866786,6.539406,-0.250708,-0.071961,0.341103,0.018416,0.039658,0.031277,168,126,208,167,127,218
115,-16.437544,-22.651565,18,-94.999999,23.288452,73.25024,80.122534,31.346458,-12.866786,6.539406,-0.250708,-0.071961,0.341103,0.018416,0.039658,0.031277,161,52,220,162,44,247
116,5.700794,-2.468083,18,-95,23.223573,74.768376,72.208783,57.835688,-10.157695,5.111188,-0.268591,-0.039222,0.314418,0.010512,0.015536,0.012223,124,171,207,125,174,188
117,-6.438352,-15.580549,18,-95,23.223573,74.768376,72.208783,57.835688,-10.157695,5.111188,-0.268591,-0.039222,0.314418,0.010512,0.015536,0.012223,177,126,191,178,126,181
118,-17.694097,12.324647,18,-95,23.223573,74.768376,72.208783,57.835688,-10.157695,5.111188,-0.268591,-0.039222,0.314418,0.010512,0.015536,0.012223,54,73,246,56,71,230
119,-11.622758,-15.080978,18,-95,23.223573,74.768376,72.208783,57.835688,-10.157695,5.111188,-0.268591,-0.039222,0.314418,0.010512,0.015536,0.012223,176,100,190,176,98,181
121,5.439906,-23.419562,18,-95,23.066815,78.436521,80.30113,59.351204,-10.093629,5.102619,-0.247348,-0.073521,0.313657,0.013529,0.030455,0.019803,163,173,227,164,181,253
122,-18.201023,-15.070087,18,-95,23.066815,78.436521,80.30113,59.351204,-10.093629,5.102619,-0.247348,-0.073521,0.313657,0.013529,0.030455,0.019803,133,83,221,133,79,256
123,-19.295007,-23.160569,18,-95,23.066815,78.436521,80.30113,59.351204,-10.093629,5.102619,-0.247348,-0.073521,0.313657,0.013529,0.030455,0.019803,164,77,218,164,71,254
124,3.234138,21.461851,18,-84.289879,24.924445,34.967971,73.333855,-0.451028,0,-3.147778,-0.259283,0.060565,0.336303,0,0.000001,0.000001,142,135,182,142,133,192
126,-10.957049,24.513575,18,-84.289879,24.924445,34.967971,73.333855,-0.451028,0,-3.147778,-0.259283,0.060565,0.336303,0,0.000001,0.000001,129,77,208,129,82,199
127,-9.45997,14.085024,18,-84.289879,24.924445,34.967971,73.333855,-0.451028,0,-3.147778,-0.259283,0.060565,0.336303,0,0.000001,0.000001,167,82,189,167,85,193
129,-5.595032,-26.700442,18,-95,22.999999,80,80.833238,-89.761644,-20.602742,-1.299539,-0.244617,-0.074751,0.304466,0.011811,0.027672,0.016317,177,142,229,178,145,251
131,-19.28066,-29.910193,18,-95,22.999999,80,80.833238,-89.761644,-20.602742,-1.299539,-0.244617,-0.074751,0.304466,0.011811,0.027672,0.016317,193,89,229,193,84,265
132,9.404159,24.51796,18,-95,24.243873,50.893353,66.489806,-71.49617,-20.672117,0.808483,-0.26824,0.041947,0.360608,0.004182,0.00321,0.006368,103,135,195,103,134,199
